Report Number,Offense Number,Related Reports,Date/Time Dispatched,Date/Time Arrived,Incident Type,Incident Code,Force Used,Offense,Crime Class,Offense Flags,Section,Disposition,Domestic Violence,Location Beat,Location Type,Suspect Races,Suspect Juvenile,Suspect Hospitalization,Date/Time Created,Date/Time Last Update
21327213,002,,2021-08-01 03:06:49,2021-08-01 03:06:49,,,No,DWOL-LICENSING,PM,None of these Apply,HRS 286-0102,Prosecutors / Victim Kokua,No,167,Hwy/Street/Road/Alley/Sidewalk,Micronesian,No,No,2021-08-01 03:06:49,2021-08-09 10:34:43
21327255,001,,2021-08-01 04:26:03,2021-08-01 04:29:07,Destruction/Damage/Vandalism of Property,290,No,CPD 2,FC,None of these Apply,HRS 708-0821,Pending Further Development,No,374,Store - Liquor,Unknown,Unknown,No,2021-08-01 04:18:38,2021-09-01 09:36:12
21327246,001,21327301,2021-08-01 04:07:22,2021-08-01 04:11:42,Simple Assault,13B,Yes,ABUSE FAMILY,MD,Domestic Relationship,HRS 709-0906,Adult Arrested / Charged,Yes - Intimate,860,Residence/Home,Hawaiian,No,Yes,2021-08-01 04:04:47,2021-08-23 23:45:05
21327246,003,21327301,2021-08-01 04:07:22,2021-08-01 04:11:42,All Other Offenses,90Z,Yes,RESISTING ARREST,MD,None of these Apply,HRS 710-1026,Adult Arrested / Charged,No,860,Residence/Home,Hawaiian,No,Yes,2021-08-01 04:04:47,2021-08-23 23:45:05
21327246,004,21327301,2021-08-01 04:07:22,2021-08-01 04:11:42,Intimidation,13C,No,HARASSMENT,PM,None of these Apply,HRS 711-1106,Adult Arrested / Charged,No,860,Residence/Home,Hawaiian,No,Yes,2021-08-01 04:04:47,2021-08-23 23:45:05
21327246,005,21327301,2021-08-01 04:07:22,2021-08-01 04:11:42,Simple Assault,13B,No,HARASSMENT,PM,None of these Apply,HRS 711-1106,Adult Arrested / Charged,No,860,Residence/Home,Hawaiian,No,Yes,2021-08-01 04:04:47,2021-08-23 23:45:05
21327274,001,,2021-08-01 05:18:37,2021-08-01 05:22:27,Larceny / All Other Larceny,23H,No,THEFT 2,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,652,Hwy/Street/Road/Alley/Sidewalk,Black,Unknown,No,2021-08-01 05:16:10,2021-08-16 12:29:58
21327225,001,,2021-08-01 03:46:16,2021-08-01 03:46:17,All Other Offenses,90Z,No,URINATING/DEFECATING WITHIN OUTSIDE WAIKIKI,PM,None of these Apply,RO 40-24A.02,Citation Issued,No,660,Hwy/Street/Road/Alley/Sidewalk,Unknown,No,No,2021-08-01 03:45:14,2021-08-03 07:32:12
21327289,001,,2021-08-01 05:21:11,2021-08-01 05:23:57,Larceny / All Other Larceny,23H,No,THEFT 2,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,660,Beach/Lake/Waterway,Other Asian,Unknown,No,2021-08-01 05:18:22,2021-08-24 11:48:11
21327338,001,,2021-08-01 06:47:44,2021-08-01 06:56:11,Motor Vehicle Theft,240,No,THEFT 2 - AUTO,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,556,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-01 06:34:19,2021-09-15 08:50:25
21327317,001,,2021-08-01 06:21:45,2021-08-01 06:34:40,Intimidation,13C,No,TERR THREAT 2,MD,None of these Apply,HRS 707-0717,Adult Arrested / Charged,No,179,Hwy/Street/Road/Alley/Sidewalk,Hawaiian,No,No,2021-08-01 06:18:23,2021-10-13 10:00:07
21327317,002,,2021-08-01 06:21:45,2021-08-01 06:34:40,Drug/Narcotic Violations,35A,No,PRO DANG DRUG 3,FC,None of these Apply,HRS 712-1243,Adult Arrested / Charged,No,176,Hwy/Street/Road/Alley/Sidewalk,Hawaiian,No,No,2021-08-01 06:18:23,2021-10-13 10:00:07
21327306,001,,2021-08-01 06:19:22,2021-08-01 06:19:22,Intimidation,13C,No,DISORD CONDUCT,PM,None of these Apply,HRS 711-1101,Adult Arrested / Charged,No,467,Hwy/Street/Road/Alley/Sidewalk,"Black,Filipino",No,No,2021-08-01 06:19:22,2021-08-09 10:33:37
21327330,001,,2021-08-01 06:51:46,2021-08-01 06:51:46,Robbery,120,No,ROBBERY 2,FB,None of these Apply,HRS 708-0841,Adult Complaint Withdrawn,No,176,Hwy/Street/Road/Alley/Sidewalk,Hawaiian,Unknown,No,2021-08-01 06:51:46,2021-08-05 13:01:42
21327353,001,,2021-08-01 07:07:05,2021-08-01 07:07:05,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Pending Further Development,No,784,Park/Playground,Unknown,Unknown,No,2021-08-01 07:07:05,2021-08-04 08:24:47
21327313,001,,2021-08-01 06:32:48,2021-08-01 06:33:14,Larceny / Theft of Motor Vehicle Parts or Accessories,23G,No,THEFT 4 - CATALYTIC CONVERTER,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,870,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-01 06:21:31,2021-08-25 17:16:25
21327375,001,,2021-08-01 07:03:18,2021-08-01 07:03:18,Counterfeiting/Forgery,250,No,DEFACED MOPED SN,MD,None of these Apply,HRS 291C-0204,Open,No,451,Beach/Lake/Waterway,Hawaiian,No,No,2021-08-01 07:03:18,2021-08-03 07:12:15
21327388,001,,2021-08-01 07:45:25,2021-08-01 07:51:18,Intimidation,13C,No,TERR THREAT 2,MD,None of these Apply,HRS 707-0717,Pending Further Development,No,652,Hwy/Street/Road/Alley/Sidewalk,White,Unknown,No,2021-08-01 07:42:06,2021-08-26 14:17:09
21327345,001,"18219478,18219810,21317024,21346219,21364269",2021-08-01 06:44:07,2021-08-01 06:54:15,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Pending Further Development,No,782,Residence/Home,Unknown,Unknown,No,2021-08-01 06:39:55,2021-09-01 17:09:11
21326901,002,,2021-07-31 22:33:02,,Stolen Property Offenses,280,Yes,UCPV 1ST,FC,None of these Apply,HRS 708-0836,Adult Complaint Withdrawn,No,363,Hwy/Street/Road/Alley/Sidewalk,Samoan,No,No,2021-07-31 22:22:52,2021-09-08 09:43:53
21326901,003,,2021-07-31 22:33:02,,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,156,Government/Public Bldgs,Samoan,No,No,2021-07-31 22:22:52,2021-09-08 09:43:53
21327407,001,,2021-08-01 08:00:12,2021-08-01 08:02:48,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Prosecutors / Victim Kokua,No,164,Residence/Home,Unknown,Unknown,No,2021-08-01 07:56:49,2021-08-04 13:55:18
21327424,001,,2021-08-01 08:19:51,2021-08-01 08:28:17,Motor Vehicle Theft,240,No,THEFT 2 - AUTO,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,875,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-01 08:10:12,2021-10-05 10:51:53
21327437,001,,2021-08-01 08:22:19,2021-08-01 08:38:08,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Pending Further Development,No,556,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-01 08:16:52,2021-08-03 11:30:07
21327336,001,,2021-08-01 06:46:21,2021-08-01 06:46:21,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Pending Further Development,No,784,Park/Playground,Unknown,Unknown,No,2021-08-01 06:46:21,2021-08-24 07:27:57
21326901,004,,2021-07-31 22:33:02,,All Other Offenses,90Z,No,UEMV 2,MD,None of these Apply,HRS 708-0836.6,Adult Complaint Withdrawn,No,168,Hwy/Street/Road/Alley/Sidewalk,"White,Samoan",No,No,2021-07-31 22:22:52,2021-09-08 09:43:53
21327423,001,21329875,2021-08-01 08:24:26,2021-08-01 08:30:18,Larceny / All Other Larceny,23H,No,THEFT 3,MD,None of these Apply,HRS 708-0832,Pending Further Development,No,167,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-01 08:20:53,2021-08-26 09:09:07
21327412,001,,2021-08-01 06:55:51,2021-08-01 06:57:28,Kidnapping/Abduction,100,No,KIDNAPPING,FA,None of these Apply,HRS 707-0720,Adult Complaint Withdrawn,No,653,Beach/Lake/Waterway,Unknown,Unknown,No,2021-08-01 06:48:08,2021-09-07 07:27:33
21327498,001,,2021-08-01 09:33:20,2021-08-01 09:33:20,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Pending Further Development,No,459,Residence/Home,Unknown,Unknown,No,2021-08-01 09:33:20,2021-08-03 11:49:07
21327365,001,,2021-08-01 07:11:12,2021-08-01 07:11:12,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Pending Further Development,No,556,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-01 07:11:12,2021-08-03 11:29:58
21327346,001,,2021-08-01 07:11:41,2021-08-01 07:11:41,All Other Offenses,90Z,No,FRAUD USE PLATE,VL,None of these Apply,HRS 249-0011,Citation Issued,No,454,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-01 07:11:41,2021-08-01 11:09:37
21327510,001,,2021-08-01 09:45:39,2021-08-01 09:53:45,Larceny / All Other Larceny,23H,No,THEFT 4,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,857,Residence/Home,Unknown,Unknown,No,2021-08-01 09:38:06,2021-08-19 09:35:23
21327526,001,,2021-08-01 10:11:29,2021-08-01 10:11:29,All Other Offenses,90Z,No,FRAUD USE PLATE,VL,None of these Apply,HRS 249-0011,Citation Issued,No,554,Hwy/Street/Road/Alley/Sidewalk,,Unknown,No,2021-08-01 10:11:29,2021-08-05 20:50:15
21327404,001,,2021-08-01 08:04:52,,Aggravated Assault,13A,No,ASSAULT 2,FC,None of these Apply,HRS 707-0711,Pending Further Development,No,175,Other/Unknown - Non Residence,Unknown,Unknown,No,2021-08-01 08:02:57,2021-08-05 11:33:03
21319064,002,20281105,,,All Other Offenses,90Z,No,TRO VIOLATION,MD,None of these Apply,HRS 586-0004,Prosecutors / Victim Kokua,No,757,Residence/Home,Hawaiian,No,No,2021-07-26 16:20:26,2021-08-28 07:10:42
21327508,001,,2021-08-01 09:48:00,2021-08-01 09:49:21,Larceny / All Other Larceny,23H,No,THEFT 1,FB,None of these Apply,HRS 708-0830.5,Pending Further Development,No,567,Parking/Drop Lot/Garage,White,Unknown,No,2021-08-01 09:45:30,2021-08-05 14:15:07
21327569,001,,2021-08-01 10:45:14,2021-08-01 10:48:37,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Pending Further Development,No,753,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-01 10:42:51,2021-08-10 07:51:44
21327566,001,"21324509,21324932",2021-08-01 10:52:44,2021-08-01 10:57:00,Larceny / All Other Larceny,23H,No,THEFT 4,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,560,Residence/Home,Unknown,Unknown,No,2021-08-01 10:46:55,2021-08-04 12:08:19
21327565,001,,2021-08-01 10:22:32,2021-08-01 10:30:50,Burglary/Breaking & Entering,220,No,BURGLARY 1,FB,None of these Apply,HRS 708-0810,Pending Further Development,No,164,Residence/Home,Unknown,Unknown,No,2021-08-01 10:13:49,2021-08-26 04:17:36
21327578,001,21328731,2021-08-01 10:55:59,2021-08-01 10:58:55,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Juvi Arrested / Charged,No,852,Hwy/Street/Road/Alley/Sidewalk,Filipino,Yes,No,2021-08-01 10:51:11,2021-08-31 12:19:59
21327578,002,21328731,2021-08-01 10:55:59,2021-08-01 10:58:55,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Juvi Arrested / Charged,No,852,Hwy/Street/Road/Alley/Sidewalk,Filipino,Yes,No,2021-08-01 10:51:11,2021-08-31 12:19:59
21327443,001,,2021-08-01 08:44:47,2021-08-01 08:49:20,Larceny / Theft of Motor Vehicle Parts or Accessories,23G,No,THEFT 4 - CATALYTIC CONVERTER,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,375,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-01 08:41:23,2021-08-10 12:34:27
21329687,001,,2021-08-02 22:22:54,2021-08-02 22:24:43,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Prosecutors / Victim Kokua,No,751,School - College/University,"Hawaiian,Other Asian",No,No,2021-08-02 22:14:49,2021-08-24 11:03:09
21328332,001,,2021-08-01 22:20:49,2021-08-01 22:26:22,All Other Offenses,90Z,No,CPD 3,MD,None of these Apply,HRS 708-0822,Pending Further Development,No,751,School - College/University,Unknown,Unknown,No,2021-08-01 22:17:15,2021-08-24 07:28:28
21329694,001,21329709,2021-08-02 22:36:29,2021-08-02 22:36:29,Trespass of Real Property,90J,No,PARK RULES PARK CLOSURE,PM,None of these Apply,RO 10-01.02,Citation Issued,No,469,Park/Playground,"Black,Filipino",No,No,2021-08-02 22:36:29,2021-08-04 04:27:04
21329854,001,,2021-08-03 02:04:54,2021-08-03 02:07:24,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Adult Arrested / Charged,No,562,Hwy/Street/Road/Alley/Sidewalk,Black,No,Yes,2021-08-03 02:01:50,2021-11-12 19:16:52
21329893,001,,2021-08-03 04:07:37,2021-08-03 04:14:14,Intimidation,13C,No,TERR THREAT 1,FC,None of these Apply,HRS 707-0716,Open,No,464,Residence/Home,Unknown,Unknown,No,2021-08-03 04:02:33,2021-08-07 22:34:23
21328978,001,,2021-08-02 11:23:39,,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Adult Complaint Withdrawn,No,876,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-02 11:21:00,2021-09-30 07:09:17
21328876,001,,2021-08-02 09:44:14,2021-08-02 10:12:56,Burglary/Breaking & Entering,220,No,BURGLARY 2,FC,None of these Apply,HRS 708-0811,Pending Further Development,No,384,School - Elem/Middle/High,Unknown,Unknown,No,2021-08-02 09:41:39,2021-08-17 12:22:50
21329709,001,21329694,2021-08-02 22:36:29,2021-08-02 22:36:29,Trespass of Real Property,90J,No,PARK RULES PARK CLOSURE,PM,None of these Apply,RO 10-01.02,Citation Issued,No,469,Park/Playground,White,No,No,2021-08-02 22:36:29,2021-08-04 04:27:39
21328529,001,,2021-08-02 03:20:50,2021-08-02 03:22:52,Larceny / Theft of Motor Vehicle Parts or Accessories,23G,No,THEFT 4 - CATALYTIC CONVERTER,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,752,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-02 03:15:52,2021-08-19 13:35:30
21329105,001,21329116,2021-08-02 13:19:20,2021-08-02 13:25:53,All Other Offenses,90Z,No,DANGEROUS DOGS - PROHIB. ACTS,VL,None of these Apply,RO 07-07.02,Forwarded to Humane Society,No,450,Beach/Lake/Waterway,,Unknown,No,2021-08-02 13:18:16,2021-08-04 13:56:26
21328991,001,,2021-08-02 11:25:53,2021-08-02 11:32:09,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Pending Further Development,No,351,Tribal Lands,Unknown,Unknown,No,2021-08-02 11:23:05,2021-09-04 19:35:58
21328444,001,,2021-08-01 23:18:02,2021-08-01 23:27:48,Nonviolent Family Offenses,90F,No,ENDG. WELFARE MIN 2,MD,Domestic Relationship,HRS 709-0904,Adult Arrested / Charged,Yes - Non Intimate,264,Residence/Home,White,No,No,2021-08-01 23:11:48,2021-09-08 05:41:38
21329131,001,,2021-08-02 13:39:04,2021-08-02 13:40:28,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Open,No,469,Shopping Mall,White,Unknown,No,2021-08-02 13:34:41,2021-10-02 07:16:55
21328588,001,,2021-08-02 05:12:17,2021-08-02 05:14:58,Burglary/Breaking & Entering,220,No,BURGLARY 1,FB,None of these Apply,HRS 708-0810,Pending Further Development,No,872,Residence/Home,Other Pac. Islander,No,No,2021-08-02 05:07:20,2021-10-13 14:49:56
21328793,001,,2021-08-02 08:28:03,2021-08-02 08:34:20,Larceny / All Other Larceny,23H,No,THEFT 2,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,563,Construction Site - Non Res,Unknown,Unknown,No,2021-08-02 08:12:59,2021-08-04 16:07:27
21327653,001,,2021-08-01 12:00:39,2021-08-01 12:00:39,Larceny / All Other Larceny,23H,No,THEFT 2,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,178,Bar/Nightclub,Filipino,Unknown,No,2021-08-01 12:00:39,2021-08-30 20:03:00
21328634,001,,2021-08-02 06:53:06,2021-08-02 06:53:06,Larceny / All Other Larceny,23H,No,THEFT 2,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,462,Residence/Home,Unknown,Unknown,No,2021-08-02 06:40:30,2021-08-09 14:51:49
21328075,001,,2021-08-01 18:28:22,2021-08-01 18:28:22,All Other Offenses,90Z,No,COVID ORDER 5 - FACE COVERING - VIOLATION,MD,None of these Apply,HRS 127A-0025,Citation Issued,No,151,Store - Liquor,White,No,No,2021-08-01 18:28:22,2021-08-05 10:51:41
21329727,001,,2021-08-02 22:46:44,2021-08-02 22:50:20,Simple Assault,13B,No,ABUSE FAMILY,MD,Domestic Relationship,HRS 709-0906,Prosecutors / Victim Kokua,Yes - Intimate,562,Other/Unknown - Residence,Unknown,No,No,2021-08-02 22:44:21,2021-08-31 08:48:23
21328112,001,,2021-08-01 18:37:18,2021-08-01 18:37:18,Aggravated Assault,13A,Yes,TERR THREAT 1,FC,None of these Apply,HRS 707-0716,Adult Complaint Declined,No,178,Store - Specialty,Hawaiian,No,No,2021-08-01 18:37:18,2021-08-12 16:06:14
21327665,001,,2021-08-01 12:12:59,2021-08-01 12:13:47,Larceny / All Other Larceny,23H,No,THEFT 2,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,383,Arena/Stadium/Fairgrounds,Unknown,Unknown,No,2021-08-01 12:05:47,2021-08-03 12:11:59
21327678,001,,2021-08-01 12:21:14,2021-08-01 12:29:56,Burglary/Breaking & Entering,220,No,BURGLARY 1,FB,None of these Apply,HRS 708-0810,Pending Further Development,No,459,Residence/Home,Unknown,Unknown,No,2021-08-01 12:17:28,2021-08-09 09:51:24
21329000,001,,2021-08-02 11:56:20,2021-08-02 11:56:20,Drug/Narcotic Violations,35A,No,PRO DANG DRUG 3,FC,None of these Apply,HRS 712-1243,Adult Arrested / Charged,No,151,Park/Playground,Hawaiian,No,No,2021-08-02 11:56:20,2021-08-22 16:39:59
21329875,001,21327423,2021-08-03 02:47:14,2021-08-03 02:50:16,Larceny / All Other Larceny,23H,Yes,THEFT 2,FC,None of these Apply,HRS 708-0831,Adult Arrested / Charged,No,171,Hwy/Street/Road/Alley/Sidewalk,Micronesian,No,No,2021-08-03 02:42:57,2021-09-02 09:58:07
21328112,002,,2021-08-01 18:37:18,2021-08-01 18:37:18,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Adult Complaint Declined,No,178,Store - Specialty,Hawaiian,No,No,2021-08-01 18:37:18,2021-08-12 16:06:14
21328112,003,,2021-08-01 18:37:18,2021-08-01 18:37:18,All Other Offenses,90Z,No,REPLICA GUN,MD,None of these Apply,RO 40-23.02,Adult Arrested / Charged,No,178,Store - Specialty,Hawaiian,No,No,2021-08-01 18:37:18,2021-08-12 16:06:14
21328707,001,21328708,2021-08-02 08:00:05,2021-08-02 08:00:05,All Other Offenses,90Z,No,STRUCTURE ON SIDEWALK,MD,None of these Apply,RO 29-08.01,Citation Issued,No,568,Hwy/Street/Road/Alley/Sidewalk,"Filipino,Black",No,No,2021-08-02 08:00:05,2021-08-03 07:47:50
21328696,001,,2021-08-02 07:54:53,2021-08-02 07:54:53,Larceny / Theft of Motor Vehicle Parts or Accessories,23G,No,THEFT 4 - CATALYTIC CONVERTER,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,266,School - Elem/Middle/High,Unknown,Unknown,No,2021-08-02 07:51:49,2021-09-27 08:40:42
21328617,001,,2021-08-02 06:26:40,2021-08-02 06:31:31,Larceny / All Other Larceny,23H,No,THEFT 4,PM,None of these Apply,HRS 708-0833,Adult Complaint Withdrawn,No,562,Residence/Home,Unknown,Unknown,No,2021-08-02 06:19:18,2021-08-04 12:12:09
21030445,002,"16452785,19138404,19206149,19411213,21029224,21328727",,,All Other Offenses,90Z,Yes,PROTECTIVE ORDER VIO,MD,None of these Apply,HRS 586-0011,Adult Arrested / Charged,No,461,Government/Public Bldgs,"White,Hispanic,Hawaiian",No,No,2021-01-21 17:01:47,2021-10-06 12:17:32
